text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
Surrounded by silky cool water flowing over smooth river stones,0.398,0.507,0.209,0.711,0.294,0.318,0.338,0.528
Paralyzing fear in cold dark basement alone,0.18,0.08,0.62,0.08,0.85,0.82,0.55,0.5
The atmosphere of campfire embers glowing orange and red,0.819,0.45,0.539,0.674,0.258,0.532,0.457,0.883
Frozen winter forest with snow-covered pines and icy stillness,0.08,0.72,0.38,0.52,0.08,0.25,0.5,0.15
Feeling like: Not hot at all - actually quite cold and dim,0.152,0.248,0.527,0.47,0.26,0.504,0.504,0.526
Perfect crystalline grid of ice in frozen geometric patterns,0.05,0.78,0.45,0.55,0.18,0.5,0.98,0.18
Feeling like: Definitely not bright - very dark and somewhat cold,0.373,0.07,0.493,0.379,0.176,0.479,0.48,0.474
Surrounded by frozen winter forest with snow-covered pines and icy stillness,0.088,0.683,0.416,0.48,0.035,0.229,0.522,0.129
This is: Not cold but not warm either - neutral temperature in bright light,0.477,0.741,0.499,0.567,0.348,0.479,0.487,0.488
Pure blissful joy overwhelming the senses with warmth and light,0.85,0.88,0.25,0.98,0.72,0.78,0.5,0.75
Experiencing: Definitely not bright - very dark and somewhat cold,0.346,0.095,0.483,0.383,0.182,0.511,0.499,0.515
A sense of serene sunset beach with soft pink clouds and gentle waves,0.639,0.597,0.359,0.861,0.141,0.308,0.498,0.823
Experiencing clean minimal scandinavian room with white and wood,0.551,0.791,0.268,0.764,0.209,0.471,0.8,0.574
Like quiet gratitude for simple everyday moments,0.635,0.541,0.353,0.774,0.169,0.316,0.488,0.604
Immersed in rough cold granite boulders under grey overcast sky,0.294,0.394,0.896,0.42,0.174,0.497,0.527,0.434
Clean minimal Scandinavian room with white and wood,0.58,0.78,0.25,0.72,0.18,0.5,0.85,0.55
A sense of explosive edm drop with massive bass and euphoric synths,0.629,0.793,0.521,0.895,0.962,0.919,0.789,0.669
Cold steel blue industrial machinery in harsh light,0.25,0.68,0.65,0.32,0.42,0.5,0.88,0.22
Velvet curtains deep red soft and luxurious,0.68,0.35,0.22,0.72,0.5,0.48,0.52,0.82
Exhilarating rush of extreme sports adventure,0.52,0.72,0.55,0.78,0.95,0.92,0.42,0.5
Like chaotic kindergarten classroom with colorful toys everywhere,0.68,0.795,0.584,0.854,0.857,0.499,0.202,0.704
Not hot at all - actually quite cold and dim,0.15,0.25,0.5,0.45,0.25,0.5,0.5,0.5
Surrounded by fiery red lava flowing bright and destructive,0.954,0.793,0.571,0.345,0.757,0.891,0.512,0.98
The feeling of velvet curtains deep red soft and luxurious,0.685,0.34,0.22,0.673,0.461,0.512,0.513,0.798
Surrounded by clear mountain morning with cold fresh air and bright sun,0.271,0.927,0.393,0.803,0.435,0.441,0.456,0.53
The atmosphere of blazing orange sunset painting everything in warm glow,0.803,0.566,0.32,0.777,0.276,0.663,0.544,0.855
Cool lavender fields under soft purple twilight sky,0.48,0.42,0.45,0.72,0.22,0.5,0.35,0.35
Overwhelming grief at funeral on cold grey rainy day,0.22,0.25,0.52,0.05,0.42,0.88,0.5,0.35
Feeling like: Not cold but not warm either - neutral temperature in bright light,0.501,0.775,0.516,0.544,0.326,0.501,0.497,0.481
Experiencing modern skyscraper with glass grid facade,0.4,0.72,0.141,0.526,0.521,0.558,0.934,0.481
Misty morning forest with soft green light filtering through,0.48,0.35,0.55,0.62,0.18,0.28,0.5,0.45
Feeling like: Not geometric at all - completely organic flowing chaotic forms,0.491,0.473,0.627,0.548,0.436,0.494,0.105,0.517
Like nostalgic bittersweet memory of warm summer childhood days,0.736,0.627,0.398,0.627,0.257,0.54,0.507,0.732
Immersed in rosy pink cherry blossoms soft and delicate,0.554,0.722,0.204,0.877,0.323,0.485,0.258,0.691
Between rough chaotic organic and smooth precise geometric at 30%,0.5,0.5,0.68,0.5,0.5,0.5,0.32,0.5
Cold emptiness of loneliness and isolation,0.18,0.22,0.48,0.08,0.15,0.62,0.5,0.25
Experiencing early morning beach walk with cool wet sand and rising sun,0.493,0.62,0.428,0.787,0.319,0.529,0.267,0.659
Immersed in empty abandoned warehouse with rusty beams and broken windows,0.253,0.344,0.884,0.168,0.114,0.38,0.696,0.501
The feeling of deserted foggy beach with grey sand and eerie silence,0.387,0.284,0.543,0.288,0.114,0.253,0.544,0.43
Surrounded by jagged broken glass shards glittering in harsh light,0.307,0.746,0.909,0.168,0.583,0.709,0.713,0.49
Neon-lit cyberpunk alley with rain puddles reflecting pink and blue,0.42,0.58,0.62,0.48,0.72,0.5,0.78,0.52
This is: Not happy but not depressed - just neutral and calm,0.51,0.478,0.528,0.511,0.273,0.319,0.502,0.474
Bustling night market with colorful lights and sizzling food stalls,0.75,0.68,0.55,0.78,0.82,0.72,0.5,0.68
Ancient dark forest with twisted gnarled trees and thick moss,0.32,0.12,0.85,0.35,0.22,0.55,0.15,0.5
The feeling of beach bonfire at night with warm flames and dark surroundings,0.809,0.361,0.594,0.775,0.51,0.566,0.492,0.848
Experiencing dark industrial noise with harsh metallic grinding,0.288,0.215,0.905,0.227,0.807,0.909,0.725,0.46
Cozy warm cafe with wooden tables and soft golden lamplight,0.82,0.42,0.58,0.82,0.25,0.5,0.52,0.75
Silky cool water flowing over smooth river stones,0.38,0.55,0.18,0.72,0.28,0.32,0.35,0.5
Immersed in perfect crystalline grid of ice in frozen geometric patterns,0.02,0.752,0.448,0.584,0.18,0.525,0.98,0.191
String quartet in candlelit chamber warm and intimate,0.72,0.32,0.5,0.75,0.22,0.38,0.55,0.72
Experiencing warm tide pool with smooth colorful pebbles and small fish,0.657,0.655,0.359,0.72,0.279,0.488,0.258,0.621
Between depressed and lethargic and ecstatic and energized at 55%,0.5,0.5,0.5,0.545,0.545,0.5,0.5,0.5
Immersed in satin wedding dress smooth and flowing,0.578,0.736,0.071,0.861,0.523,0.53,0.392,0.575
A sense of soft acoustic guitar by warm firelight in quiet cabin,0.802,0.345,0.546,0.798,0.147,0.24,0.467,0.71
Peaceful bamboo grove with geometric stalks and dappled light,0.52,0.55,0.42,0.72,0.15,0.5,0.72,0.48
The atmosphere of brutalist concrete fortress with harsh angular shadows,0.297,0.46,0.748,0.323,0.517,0.675,0.88,0.339
Experiencing quiet monastery courtyard with ancient stone and flowing fountain,0.453,0.512,0.675,0.741,0.079,0.22,0.635,0.489
The feeling of quiet gratitude for simple everyday moments,0.685,0.599,0.362,0.853,0.165,0.299,0.477,0.626
The feeling of paralyzing fear in cold dark basement alone,0.152,0.119,0.64,0.045,0.811,0.868,0.525,0.549
The atmosphere of deep ocean blue underwater world cold and mysterious,0.266,0.364,0.349,0.492,0.23,0.516,0.285,0.105
Immersed in dark swamp with murky water and twisted dead trees,0.429,0.179,0.75,0.194,0.365,0.544,0.073,0.51
The feeling of burnt forest after fire with charred black trees and ash,0.298,0.381,0.848,0.116,0.294,0.524,0.473,0.405
Brutal death metal with distorted screaming and crushing bass,0.38,0.22,0.92,0.35,0.95,0.98,0.55,0.5
