text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
scorching hot desert sun,0.98,0.95,0.5,0.5,0.5,0.8,0.5,0.95
blazing summer heat wave,0.95,0.85,0.5,0.5,0.65,0.5,0.5,0.9
steaming hot bath,0.92,0.5,0.15,0.8,0.2,0.5,0.5,0.5
warm fireplace glow,0.88,0.35,0.5,0.85,0.5,0.5,0.5,0.85
tropical heat,0.95,0.8,0.5,0.7,0.5,0.5,0.5,0.9
hot summer afternoon,0.9,0.9,0.5,0.7,0.5,0.5,0.5,0.85
warm embrace,0.85,0.5,0.2,0.9,0.5,0.6,0.5,0.5
cozy warm blanket,0.85,0.5,0.2,0.85,0.15,0.5,0.5,0.5
hot cup of tea,0.85,0.5,0.5,0.8,0.25,0.4,0.5,0.5
balmy tropical evening,0.82,0.3,0.5,0.8,0.3,0.5,0.5,0.5
freezing arctic tundra,0.02,0.7,0.5,0.5,0.5,0.7,0.5,0.05
ice cold glacier,0.05,0.75,0.5,0.5,0.5,0.5,0.5,0.05
bitter winter cold,0.08,0.5,0.5,0.3,0.5,0.65,0.5,0.1
frigid winter night,0.05,0.15,0.5,0.5,0.2,0.5,0.5,0.08
frozen lake surface,0.08,0.65,0.4,0.5,0.5,0.5,0.5,0.1
cold metal railing,0.15,0.5,0.5,0.5,0.5,0.5,0.75,0.2
chilly morning fog,0.2,0.45,0.15,0.5,0.5,0.5,0.5,0.25
icy wind cutting through,0.1,0.5,0.7,0.5,0.6,0.75,0.5,0.5
cold stone floor,0.18,0.45,0.55,0.5,0.5,0.5,0.7,0.5
frosty window pane,0.12,0.6,0.45,0.5,0.5,0.5,0.5,0.15
room temperature water,0.5,0.5,0.2,0.55,0.5,0.2,0.5,0.5
mild spring day,0.55,0.7,0.5,0.75,0.4,0.5,0.5,0.5
temperate climate,0.5,0.5,0.5,0.65,0.35,0.3,0.5,0.5
blinding white light,0.5,0.98,0.5,0.5,0.7,0.9,0.5,0.5
blazing midday sun,0.9,0.95,0.5,0.5,0.5,0.75,0.5,0.85
brilliant sunlight streaming in,0.75,0.92,0.5,0.85,0.5,0.5,0.5,0.5
dazzling snow field,0.1,0.95,0.3,0.5,0.5,0.5,0.5,0.15
gleaming white marble,0.5,0.88,0.1,0.5,0.5,0.5,0.7,0.4
harsh fluorescent lights,0.35,0.9,0.5,0.35,0.5,0.5,0.8,0.5
bright sunny day,0.8,0.9,0.5,0.85,0.5,0.5,0.5,0.75
brilliant white clouds,0.5,0.85,0.35,0.75,0.5,0.5,0.5,0.5
glaring spotlight,0.5,0.92,0.5,0.5,0.5,0.85,0.75,0.5
luminous screen glow,0.5,0.8,0.5,0.5,0.5,0.5,0.8,0.4
pitch black darkness,0.5,0.02,0.5,0.5,0.3,0.5,0.5,0.5
complete darkness,0.5,0.03,0.5,0.5,0.5,0.45,0.5,0.5
deep shadows,0.5,0.1,0.5,0.35,0.5,0.55,0.5,0.5
dim candle flicker,0.75,0.18,0.5,0.5,0.25,0.5,0.5,0.8
murky underwater depths,0.5,0.12,0.55,0.35,0.5,0.5,0.5,0.3
gloomy overcast sky,0.5,0.25,0.5,0.35,0.25,0.5,0.5,0.35
dark moonless night,0.25,0.08,0.5,0.5,0.2,0.5,0.5,0.5
shadowy alleyway,0.5,0.15,0.5,0.25,0.5,0.55,0.5,0.5
faint starlight,0.5,0.12,0.5,0.6,0.5,0.35,0.5,0.3
dusky twilight hour,0.55,0.25,0.5,0.6,0.3,0.5,0.5,0.5
soft diffused light,0.5,0.55,0.2,0.7,0.5,0.35,0.5,0.5
gentle morning light,0.65,0.6,0.5,0.75,0.35,0.5,0.5,0.5
overcast afternoon,0.5,0.5,0.5,0.5,0.35,0.5,0.5,0.5
silk flowing like water,0.6,0.5,0.05,0.8,0.5,0.5,0.15,0.5
polished glass surface,0.5,0.75,0.08,0.5,0.5,0.5,0.7,0.5
smooth velvet cushion,0.7,0.5,0.1,0.8,0.5,0.5,0.5,0.5
satin sheets gliding,0.65,0.5,0.08,0.85,0.3,0.5,0.5,0.5
buttery smooth cream,0.6,0.5,0.1,0.75,0.5,0.5,0.5,0.5
sleek polished metal,0.5,0.7,0.12,0.5,0.5,0.5,0.75,0.3
liquid mercury flowing,0.5,0.75,0.08,0.5,0.5,0.5,0.2,0.5
soft cotton clouds,0.5,0.8,0.15,0.75,0.5,0.5,0.5,0.5
baby skin soft,0.75,0.5,0.1,0.85,0.5,0.5,0.5,0.5
smooth river stones,0.5,0.5,0.2,0.65,0.5,0.5,0.4,0.5
rough sandpaper grating,0.5,0.5,0.95,0.25,0.5,0.6,0.5,0.5
jagged broken glass,0.5,0.5,0.92,0.15,0.5,0.8,0.9,0.5
coarse burlap sack,0.45,0.5,0.85,0.35,0.5,0.5,0.5,0.5
rough tree bark,0.5,0.5,0.88,0.5,0.5,0.5,0.55,0.5
gritty sand beach,0.7,0.75,0.8,0.5,0.5,0.5,0.5,0.5
spiky cactus needles,0.5,0.5,0.9,0.25,0.5,0.65,0.85,0.5
abrasive concrete surface,0.5,0.5,0.85,0.5,0.5,0.5,0.75,0.4
rusted corroded metal,0.45,0.5,0.88,0.25,0.5,0.5,0.5,0.5
cracked dry earth,0.6,0.65,0.82,0.35,0.5,0.5,0.5,0.5
gravel crunching underfoot,0.5,0.5,0.8,0.5,0.4,0.45,0.5,0.5
linen fabric weave,0.55,0.5,0.55,0.65,0.5,0.5,0.5,0.5
wooden grain pattern,0.6,0.5,0.5,0.5,0.5,0.5,0.55,0.5
pure ecstatic joy,0.8,0.85,0.5,0.98,0.85,0.5,0.5,0.5
blissful happiness,0.8,0.8,0.5,0.95,0.7,0.5,0.5,0.5
overwhelming love,0.9,0.5,0.5,0.95,0.75,0.9,0.5,0.5
peaceful contentment,0.7,0.5,0.5,0.85,0.15,0.4,0.5,0.5
triumphant victory,0.5,0.8,0.5,0.92,0.9,0.85,0.5,0.5
gentle comfort,0.75,0.5,0.2,0.82,0.2,0.5,0.5,0.5
pure delight,0.5,0.8,0.5,0.9,0.75,0.5,0.5,0.5
serene tranquility,0.6,0.5,0.5,0.85,0.08,0.25,0.5,0.5
heartwarming kindness,0.85,0.5,0.5,0.88,0.5,0.55,0.5,0.5
joyful celebration,0.75,0.85,0.5,0.92,0.85,0.5,0.5,0.5
crushing despair,0.5,0.15,0.5,0.02,0.4,0.95,0.5,0.5
devastating grief,0.25,0.5,0.5,0.05,0.45,0.95,0.5,0.5
overwhelming dread,0.5,0.5,0.5,0.08,0.85,0.9,0.5,0.5
bitter resentment,0.35,0.5,0.65,0.15,0.5,0.7,0.5,0.5
profound sadness,0.5,0.2,0.5,0.1,0.25,0.8,0.5,0.5
utter hopelessness,0.5,0.15,0.5,0.05,0.5,0.85,0.5,0.5
gnawing anxiety,0.5,0.5,0.65,0.18,0.8,0.75,0.5,0.5
deep depression,0.5,0.15,0.5,0.08,0.15,0.75,0.5,0.5
cold emptiness,0.15,0.5,0.5,0.12,0.5,0.6,0.5,0.5
terrifying fear,0.2,0.5,0.5,0.1,0.95,0.92,0.5,0.5
bittersweet memory,0.55,0.5,0.5,0.45,0.3,0.65,0.5,0.5
melancholic nostalgia,0.55,0.5,0.5,0.4,0.25,0.6,0.5,0.5
wistful longing,0.5,0.5,0.5,0.42,0.3,0.65,0.5,0.5
stoic acceptance,0.5,0.5,0.5,0.5,0.25,0.55,0.5,0.5
complex ambivalence,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5
heart-pounding terror,0.5,0.5,0.5,0.08,0.98,0.95,0.5,0.5
explosive excitement,0.5,0.8,0.5,0.85,0.95,0.9,0.5,0.5
manic energy surge,0.5,0.75,0.5,0.5,0.95,0.9,0.5,0.5
adrenaline rush,0.5,0.5,0.5,0.7,0.92,0.88,0.5,0.5
electric anticipation,0.5,0.5,0.5,0.75,0.88,0.8,0.5,0.5
frenzied chaos,0.5,0.5,0.75,0.4,0.95,0.9,0.5,0.5
wild exhilaration,0.5,0.5,0.5,0.85,0.92,0.85,0.5,0.5
panicked alarm,0.5,0.5,0.5,0.15,0.95,0.9,0.5,0.5
ecstatic euphoria,0.5,0.5,0.5,0.95,0.9,0.85,0.5,0.5
intense concentration,0.5,0.5,0.5,0.6,0.75,0.8,0.5,0.5
deep peaceful sleep,0.5,0.5,0.5,0.7,0.02,0.15,0.5,0.5
meditative stillness,0.55,0.5,0.5,0.75,0.05,0.2,0.5,0.5
drowsy relaxation,0.65,0.5,0.5,0.7,0.1,0.5,0.5,0.5
serene calm,0.5,0.5,0.5,0.8,0.08,0.2,0.5,0.5
quiet contemplation,0.5,0.5,0.5,0.65,0.15,0.3,0.5,0.5
gentle tranquility,0.65,0.5,0.2,0.8,0.1,0.5,0.5,0.5
sleepy afternoon,0.6,0.55,0.5,0.65,0.12,0.5,0.5,0.5
peaceful rest,0.5,0.5,0.5,0.75,0.08,0.2,0.5,0.5
lazy Sunday morning,0.7,0.5,0.5,0.75,0.15,0.5,0.5,0.5
still water surface,0.5,0.5,0.1,0.7,0.05,0.5,0.5,0.5
steady focus,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
mild interest,0.5,0.5,0.5,0.65,0.45,0.5,0.5,0.5
overwhelming catastrophe,0.5,0.5,0.5,0.05,0.85,0.98,0.5,0.5
earth-shattering revelation,0.5,0.7,0.5,0.5,0.8,0.95,0.5,0.5
devastating impact,0.5,0.5,0.75,0.1,0.5,0.95,0.5,0.5
profound emotional weight,0.5,0.5,0.5,0.35,0.45,0.9,0.5,0.5
crushing pressure,0.5,0.5,0.5,0.2,0.7,0.92,0.5,0.5
overwhelming power,0.5,0.5,0.5,0.5,0.8,0.95,0.5,0.5
mind-blowing revelation,0.5,0.5,0.5,0.75,0.85,0.88,0.5,0.5
all-consuming passion,0.85,0.5,0.5,0.8,0.85,0.92,0.5,0.5
thundering crescendo,0.5,0.65,0.5,0.5,0.9,0.9,0.5,0.5
massive explosion,0.5,0.9,0.85,0.5,0.95,0.98,0.5,0.5
faint whisper,0.5,0.4,0.5,0.5,0.15,0.08,0.5,0.5
subtle hint,0.5,0.5,0.5,0.5,0.25,0.12,0.5,0.5
gentle breeze,0.5,0.5,0.3,0.7,0.25,0.15,0.5,0.5
soft murmur,0.5,0.5,0.2,0.5,0.2,0.12,0.5,0.5
delicate touch,0.65,0.5,0.15,0.7,0.5,0.15,0.5,0.5
mild sensation,0.5,0.5,0.5,0.5,0.3,0.2,0.5,0.5
barely perceptible,0.5,0.5,0.5,0.5,0.15,0.08,0.5,0.5
slight movement,0.5,0.5,0.5,0.5,0.25,0.15,0.5,0.5
faint memory,0.5,0.5,0.5,0.55,0.2,0.18,0.5,0.5
gentle nudge,0.6,0.5,0.5,0.65,0.5,0.2,0.5,0.5
moderate force,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
steady presence,0.5,0.5,0.5,0.6,0.45,0.55,0.5,0.5
sharp geometric edges,0.5,0.5,0.65,0.5,0.5,0.5,0.95,0.5
rigid angular structure,0.35,0.5,0.6,0.5,0.5,0.5,0.92,0.5
crystalline facets,0.5,0.75,0.45,0.5,0.5,0.5,0.9,0.5
brutalist concrete blocks,0.3,0.5,0.75,0.35,0.5,0.5,0.92,0.5
stark minimalist lines,0.5,0.7,0.5,0.5,0.5,0.5,0.88,0.5
harsh angular shadows,0.5,0.25,0.5,0.35,0.5,0.5,0.85,0.5
industrial metal framework,0.3,0.5,0.65,0.5,0.5,0.5,0.9,0.3
precise mathematical grid,0.5,0.6,0.5,0.5,0.4,0.5,0.95,0.5
jagged mountain peaks,0.5,0.5,0.7,0.5,0.5,0.7,0.85,0.5
cubist fragmentation,0.5,0.5,0.55,0.5,0.55,0.5,0.92,0.5
flowing organic curves,0.5,0.5,0.25,0.7,0.5,0.5,0.08,0.5
soft natural forms,0.6,0.5,0.3,0.75,0.5,0.5,0.12,0.5
undulating waves,0.5,0.5,0.25,0.5,0.4,0.5,0.1,0.5
gentle rolling hills,0.55,0.5,0.5,0.75,0.5,0.5,0.15,0.5
swirling cloud patterns,0.5,0.65,0.25,0.5,0.5,0.5,0.12,0.5
meandering river path,0.5,0.5,0.3,0.7,0.5,0.5,0.1,0.5
smooth pebble beach,0.5,0.5,0.35,0.7,0.5,0.5,0.18,0.5
drooping willow branches,0.5,0.5,0.5,0.6,0.2,0.5,0.15,0.5
curving art nouveau lines,0.6,0.5,0.5,0.75,0.5,0.5,0.12,0.5
rounded bubble shapes,0.5,0.5,0.1,0.7,0.5,0.5,0.1,0.5
balanced composition,0.5,0.5,0.5,0.65,0.5,0.5,0.5,0.5
mixed angular and curved,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
golden sunset glow,0.85,0.7,0.5,0.85,0.5,0.5,0.5,0.95
amber firelight,0.9,0.4,0.5,0.8,0.5,0.5,0.5,0.92
fiery orange flames,0.95,0.75,0.5,0.5,0.5,0.85,0.5,0.98
rustic autumn leaves,0.7,0.5,0.5,0.7,0.5,0.5,0.5,0.85
copper metallic sheen,0.65,0.65,0.35,0.5,0.5,0.5,0.5,0.8
burnt sienna earth,0.65,0.5,0.6,0.5,0.5,0.5,0.5,0.82
honey golden light,0.8,0.7,0.5,0.8,0.5,0.5,0.5,0.88
candlelit warmth,0.85,0.25,0.5,0.75,0.5,0.5,0.5,0.85
terracotta tones,0.7,0.5,0.55,0.5,0.5,0.5,0.5,0.8
ruby red glow,0.75,0.5,0.5,0.65,0.5,0.65,0.5,0.88
icy blue winter,0.08,0.65,0.5,0.5,0.5,0.5,0.5,0.05
steel grey industrial,0.3,0.5,0.6,0.5,0.5,0.5,0.8,0.2
silver moonlight,0.3,0.5,0.5,0.6,0.5,0.5,0.5,0.15
azure ocean depths,0.35,0.5,0.5,0.5,0.5,0.55,0.5,0.12
cool mint green,0.4,0.5,0.5,0.7,0.5,0.5,0.5,0.25
polar white ice,0.05,0.85,0.45,0.5,0.5,0.5,0.5,0.08
clinical fluorescent,0.5,0.9,0.5,0.35,0.5,0.5,0.8,0.3
deep navy blue,0.5,0.25,0.5,0.5,0.5,0.55,0.5,0.15
slate grey overcast,0.5,0.45,0.5,0.4,0.5,0.5,0.5,0.35
frosted glass blue,0.25,0.6,0.3,0.5,0.5,0.5,0.5,0.18
neutral daylight,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.5
white balance neutral,0.5,0.65,0.5,0.5,0.5,0.5,0.5,0.5
grandmother's kitchen filled with baking bread,0.92,0.55,0.35,0.95,0.3,0.55,0.3,0.88
crackling fireplace on winter evening,0.95,0.35,0.5,0.9,0.25,0.55,0.35,0.92
cozy cabin in the mountains,0.85,0.45,0.45,0.88,0.2,0.45,0.4,0.8
abandoned factory in winter rain,0.15,0.3,0.85,0.15,0.3,0.65,0.8,0.25
sterile hospital corridor at night,0.3,0.85,0.4,0.25,0.5,0.55,0.85,0.3
brutalist concrete parking garage,0.28,0.45,0.75,0.25,0.3,0.55,0.92,0.32
tropical beach at sunset,0.9,0.75,0.4,0.92,0.45,0.6,0.2,0.9
frozen lake under northern lights,0.08,0.55,0.35,0.75,0.5,0.8,0.35,0.15
foggy forest at dawn,0.45,0.4,0.35,0.65,0.25,0.5,0.35,0.45
thunderstorm over mountains,0.4,0.25,0.65,0.35,0.85,0.92,0.55,0.38
cherry blossoms in spring,0.7,0.8,0.25,0.9,0.4,0.5,0.2,0.68
neon-lit cyberpunk city,0.5,0.8,0.55,0.55,0.85,0.8,0.85,0.55
quiet library at midnight,0.55,0.3,0.4,0.65,0.1,0.35,0.7,0.5
jazz club smoky atmosphere,0.65,0.22,0.35,0.72,0.45,0.55,0.4,0.65
children laughing in summer sunshine,0.88,0.9,0.3,0.95,0.75,0.65,0.25,0.82
funeral in the rain,0.3,0.25,0.45,0.08,0.3,0.85,0.55,0.35
wedding ceremony at golden hour,0.85,0.75,0.25,0.95,0.65,0.75,0.45,0.88
lonely vigil by candlelight,0.7,0.18,0.3,0.35,0.15,0.7,0.4,0.75
somewhat frenzied chaos,0.5,0.5,0.65,0.5,0.85,0.8,0.5,0.5
very drowsy relaxation,0.8,0.5,0.5,0.85,0.0,0.5,0.5,0.5
the feeling of crystalline facets,0.5,0.75,0.45,0.5,0.5,0.5,0.9,0.5
pure candlelit warmth vibes,0.85,0.25,0.5,0.75,0.5,0.5,0.5,0.85
evokes subtle hint,0.5,0.5,0.5,0.5,0.25,0.12,0.5,0.5
slightly precise mathematical grid,0.5,0.4499999999999999,0.5,0.5,0.55,0.5,0.7999999999999999,0.5
experiencing dazzling snow field atmosphere,0.1,0.95,0.3,0.5,0.5,0.5,0.5,0.15
reminds me of steady focus,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
reminds me of stoic acceptance,0.5,0.5,0.5,0.5,0.25,0.55,0.5,0.5
absolute sleek polished metal,0.5,0.7,0.12,0.5,0.5,0.5,0.75,0.3
peaceful contentment sensation,0.7,0.5,0.5,0.85,0.15,0.4,0.5,0.5
intensely pure delight,0.5,1.0,0.5,1.0,0.95,0.5,0.5,0.5
foggy forest at dawn sensation,0.45,0.4,0.35,0.65,0.25,0.5,0.35,0.45
precise mathematical grid feeling,0.5,0.6,0.5,0.5,0.4,0.5,0.95,0.5
somewhat candlelit warmth,0.75,0.35,0.5,0.65,0.5,0.5,0.5,0.75
intensely heart-pounding terror,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5
pure shadowy alleyway vibes,0.5,0.15,0.5,0.25,0.5,0.55,0.5,0.5
the feeling of blissful happiness,0.8,0.8,0.5,0.95,0.7,0.5,0.5,0.5
bittersweet memory energy,0.55,0.5,0.5,0.45,0.3,0.65,0.5,0.5
bitter winter cold feeling,0.08,0.5,0.5,0.3,0.5,0.65,0.5,0.1
very coarse burlap sack,0.3,0.5,1.0,0.1999999999999999,0.5,0.5,0.5,0.5
somewhat soft diffused light,0.5,0.45,0.3,0.6,0.5,0.4499999999999999,0.5,0.5
cozy cabin in the mountains feeling,0.85,0.45,0.45,0.88,0.2,0.45,0.4,0.8
experiencing cozy warm blanket,0.85,0.5,0.2,0.85,0.15,0.5,0.5,0.5
very bitter winter cold,0.0,0.5,0.5,0.15,0.5,0.8,0.5,0.0
total serene calm atmosphere,0.5,0.5,0.5,0.8,0.08,0.2,0.5,0.5
polished glass surface sensation,0.5,0.75,0.08,0.5,0.5,0.5,0.7,0.5
barely bitter resentment,0.55,0.5,0.45,0.35,0.5,0.4999999999999999,0.5,0.5
total liquid mercury flowing feeling,0.5,0.75,0.08,0.5,0.5,0.5,0.2,0.5
evokes faint whisper feeling,0.5,0.4,0.5,0.5,0.15,0.08,0.5,0.5
the feeling of cubist fragmentation,0.5,0.5,0.55,0.5,0.55,0.5,0.92,0.5
smooth velvet cushion vibes,0.7,0.5,0.1,0.8,0.5,0.5,0.5,0.5
fiery orange flames energy,0.95,0.75,0.5,0.5,0.5,0.85,0.5,0.98
slightly tropical beach at sunset,0.75,0.6,0.55,0.77,0.6,0.4499999999999999,0.35,0.75
coarse burlap sack sensation,0.45,0.5,0.85,0.35,0.5,0.5,0.5,0.5
pure steady focus sensation,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
absolute blazing midday sun,0.9,0.95,0.5,0.5,0.5,0.75,0.5,0.85
wistful longing energy,0.5,0.5,0.5,0.42,0.3,0.65,0.5,0.5
sterile hospital corridor at night feeling,0.3,0.85,0.4,0.25,0.5,0.55,0.85,0.3
somewhat jazz club smoky atmosphere,0.55,0.32,0.4499999999999999,0.62,0.55,0.45,0.5,0.55
somewhat heartwarming kindness,0.75,0.5,0.5,0.78,0.5,0.45,0.5,0.5
pure cubist fragmentation,0.5,0.5,0.55,0.5,0.55,0.5,0.92,0.5
reminds me of rough tree bark,0.5,0.5,0.88,0.5,0.5,0.5,0.55,0.5
extremely blazing midday sun,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0
baby skin soft energy,0.75,0.5,0.1,0.85,0.5,0.5,0.5,0.5
the feeling of drowsy relaxation,0.65,0.5,0.5,0.7,0.1,0.5,0.5,0.5
