text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
cozy and creepy autumn night,0.75,0.35,0.5,0.6,0.45,0.75,0.45,0.7
cozy-creepy cottage in the woods,0.72,0.3,0.55,0.58,0.4,0.78,0.4,0.68
warm fireplace something watching from shadows,0.78,0.32,0.48,0.55,0.5,0.8,0.42,0.75
grandmother's house but the mirrors feel wrong,0.7,0.38,0.52,0.5,0.48,0.82,0.48,0.65
cozy and creepy autumn night,0.75,0.35,0.5,0.6,0.45,0.75,0.45,0.7
cozy-creepy cottage in the woods,0.72,0.3,0.55,0.58,0.4,0.78,0.4,0.68
warm fireplace something watching from shadows,0.78,0.32,0.48,0.55,0.5,0.8,0.42,0.75
grandmother's house but the mirrors feel wrong,0.7,0.38,0.52,0.5,0.48,0.82,0.48,0.65
cozy and creepy autumn night,0.75,0.35,0.5,0.6,0.45,0.75,0.45,0.7
cozy-creepy cottage in the woods,0.72,0.3,0.55,0.58,0.4,0.78,0.4,0.68
warm fireplace something watching from shadows,0.78,0.32,0.48,0.55,0.5,0.8,0.42,0.75
grandmother's house but the mirrors feel wrong,0.7,0.38,0.52,0.5,0.48,0.82,0.48,0.65
cozy and creepy autumn night,0.75,0.35,0.5,0.6,0.45,0.75,0.45,0.7
cozy-creepy cottage in the woods,0.72,0.3,0.55,0.58,0.4,0.78,0.4,0.68
warm fireplace something watching from shadows,0.78,0.32,0.48,0.55,0.5,0.8,0.42,0.75
grandmother's house but the mirrors feel wrong,0.7,0.38,0.52,0.5,0.48,0.82,0.48,0.65
cozy and creepy autumn night,0.75,0.35,0.5,0.6,0.45,0.75,0.45,0.7
cozy-creepy cottage in the woods,0.72,0.3,0.55,0.58,0.4,0.78,0.4,0.68
warm fireplace something watching from shadows,0.78,0.32,0.48,0.55,0.5,0.8,0.42,0.75
grandmother's house but the mirrors feel wrong,0.7,0.38,0.52,0.5,0.48,0.82,0.48,0.65
cozy and creepy autumn night,0.75,0.35,0.5,0.6,0.45,0.75,0.45,0.7
cozy-creepy cottage in the woods,0.72,0.3,0.55,0.58,0.4,0.78,0.4,0.68
warm fireplace something watching from shadows,0.78,0.32,0.48,0.55,0.5,0.8,0.42,0.75
grandmother's house but the mirrors feel wrong,0.7,0.38,0.52,0.5,0.48,0.82,0.48,0.65
cozy and creepy autumn night,0.75,0.35,0.5,0.6,0.45,0.75,0.45,0.7
cozy-creepy cottage in the woods,0.72,0.3,0.55,0.58,0.4,0.78,0.4,0.68
warm fireplace something watching from shadows,0.78,0.32,0.48,0.55,0.5,0.8,0.42,0.75
grandmother's house but the mirrors feel wrong,0.7,0.38,0.52,0.5,0.48,0.82,0.48,0.65
cozy and creepy autumn night,0.75,0.35,0.5,0.6,0.45,0.75,0.45,0.7
cozy-creepy cottage in the woods,0.72,0.3,0.55,0.58,0.4,0.78,0.4,0.68
warm fireplace something watching from shadows,0.78,0.32,0.48,0.55,0.5,0.8,0.42,0.75
grandmother's house but the mirrors feel wrong,0.7,0.38,0.52,0.5,0.48,0.82,0.48,0.65
candles flickering old house settling strange noises,0.72,0.28,0.5,0.55,0.52,0.78,0.45,0.7
cozy cabin isolated deep woods,0.75,0.32,0.52,0.62,0.35,0.72,0.38,0.72
warm bed but something under it,0.7,0.25,0.45,0.45,0.55,0.85,0.42,0.68
tea and blankets storm howling outside,0.8,0.28,0.42,0.7,0.4,0.7,0.38,0.78
cozy reading nook haunted library,0.68,0.3,0.48,0.58,0.42,0.75,0.52,0.65
firelight dancing shadows moving wrong,0.75,0.3,0.5,0.52,0.55,0.8,0.45,0.72
beautiful destruction,0.45,0.55,0.72,0.35,0.7,0.92,0.55,0.5
gorgeous devastation,0.42,0.58,0.75,0.32,0.72,0.95,0.58,0.48
terrible beauty,0.48,0.6,0.65,0.4,0.65,0.88,0.52,0.52
beautiful destruction,0.45,0.55,0.72,0.35,0.7,0.92,0.55,0.5
gorgeous devastation,0.42,0.58,0.75,0.32,0.72,0.95,0.58,0.48
terrible beauty,0.48,0.6,0.65,0.4,0.65,0.88,0.52,0.52
beautiful destruction,0.45,0.55,0.72,0.35,0.7,0.92,0.55,0.5
gorgeous devastation,0.42,0.58,0.75,0.32,0.72,0.95,0.58,0.48
terrible beauty,0.48,0.6,0.65,0.4,0.65,0.88,0.52,0.52
beautiful destruction,0.45,0.55,0.72,0.35,0.7,0.92,0.55,0.5
gorgeous devastation,0.42,0.58,0.75,0.32,0.72,0.95,0.58,0.48
