text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
Berlin techno club at 4am,0.3,0.2,0.65,0.55,0.88,0.9,0.75,0.35
dark warehouse rave pounding bass,0.25,0.15,0.8,0.5,0.95,0.95,0.7,0.3
industrial techno relentless machine rhythm,0.2,0.25,0.85,0.4,0.9,0.92,0.85,0.25
minimal techno hypnotic repetition,0.35,0.3,0.5,0.55,0.7,0.6,0.8,0.4
acid house squelching 303,0.4,0.5,0.7,0.65,0.85,0.8,0.65,0.45
Berlin techno club at 4am,0.3,0.2,0.65,0.55,0.88,0.9,0.75,0.35
dark warehouse rave pounding bass,0.25,0.15,0.8,0.5,0.95,0.95,0.7,0.3
industrial techno relentless machine rhythm,0.2,0.25,0.85,0.4,0.9,0.92,0.85,0.25
minimal techno hypnotic repetition,0.35,0.3,0.5,0.55,0.7,0.6,0.8,0.4
acid house squelching 303,0.4,0.5,0.7,0.65,0.85,0.8,0.65,0.45
Berlin techno club at 4am,0.3,0.2,0.65,0.55,0.88,0.9,0.75,0.35
dark warehouse rave pounding bass,0.25,0.15,0.8,0.5,0.95,0.95,0.7,0.3
industrial techno relentless machine rhythm,0.2,0.25,0.85,0.4,0.9,0.92,0.85,0.25
minimal techno hypnotic repetition,0.35,0.3,0.5,0.55,0.7,0.6,0.8,0.4
acid house squelching 303,0.4,0.5,0.7,0.65,0.85,0.8,0.65,0.45
Berlin techno club at 4am,0.3,0.2,0.65,0.55,0.88,0.9,0.75,0.35
dark warehouse rave pounding bass,0.25,0.15,0.8,0.5,0.95,0.95,0.7,0.3
industrial techno relentless machine rhythm,0.2,0.25,0.85,0.4,0.9,0.92,0.85,0.25
minimal techno hypnotic repetition,0.35,0.3,0.5,0.55,0.7,0.6,0.8,0.4
acid house squelching 303,0.4,0.5,0.7,0.65,0.85,0.8,0.65,0.45
Berlin techno club at 4am,0.3,0.2,0.65,0.55,0.88,0.9,0.75,0.35
dark warehouse rave pounding bass,0.25,0.15,0.8,0.5,0.95,0.95,0.7,0.3
industrial techno relentless machine rhythm,0.2,0.25,0.85,0.4,0.9,0.92,0.85,0.25
minimal techno hypnotic repetition,0.35,0.3,0.5,0.55,0.7,0.6,0.8,0.4
acid house squelching 303,0.4,0.5,0.7,0.65,0.85,0.8,0.65,0.45
Berlin techno club at 4am,0.3,0.2,0.65,0.55,0.88,0.9,0.75,0.35
dark warehouse rave pounding bass,0.25,0.15,0.8,0.5,0.95,0.95,0.7,0.3
industrial techno relentless machine rhythm,0.2,0.25,0.85,0.4,0.9,0.92,0.85,0.25
minimal techno hypnotic repetition,0.35,0.3,0.5,0.55,0.7,0.6,0.8,0.4
acid house squelching 303,0.4,0.5,0.7,0.65,0.85,0.8,0.65,0.45
Berlin techno club at 4am,0.3,0.2,0.65,0.55,0.88,0.9,0.75,0.35
dark warehouse rave pounding bass,0.25,0.15,0.8,0.5,0.95,0.95,0.7,0.3
industrial techno relentless machine rhythm,0.2,0.25,0.85,0.4,0.9,0.92,0.85,0.25
minimal techno hypnotic repetition,0.35,0.3,0.5,0.55,0.7,0.6,0.8,0.4
acid house squelching 303,0.4,0.5,0.7,0.65,0.85,0.8,0.65,0.45
Berlin techno club at 4am,0.3,0.2,0.65,0.55,0.88,0.9,0.75,0.35
dark warehouse rave pounding bass,0.25,0.15,0.8,0.5,0.95,0.95,0.7,0.3
industrial techno relentless machine rhythm,0.2,0.25,0.85,0.4,0.9,0.92,0.85,0.25
minimal techno hypnotic repetition,0.35,0.3,0.5,0.55,0.7,0.6,0.8,0.4
acid house squelching 303,0.4,0.5,0.7,0.65,0.85,0.8,0.65,0.45
Detroit techno futuristic soul,0.45,0.4,0.55,0.6,0.8,0.75,0.7,0.45
Berghain at sunrise still dancing,0.3,0.35,0.6,0.6,0.75,0.8,0.7,0.4
New Orleans jazz funeral parade,0.75,0.55,0.45,0.55,0.65,0.7,0.35,0.7
smoky jazz club midnight set,0.65,0.2,0.4,0.65,0.45,0.55,0.3,0.65
bebop frenetic improvisation,0.55,0.45,0.55,0.7,0.85,0.8,0.45,0.55
cool jazz late night sophistication,0.5,0.3,0.3,0.7,0.35,0.45,0.4,0.45
New Orleans jazz funeral parade,0.75,0.55,0.45,0.55,0.65,0.7,0.35,0.7
smoky jazz club midnight set,0.65,0.2,0.4,0.65,0.45,0.55,0.3,0.65
bebop frenetic improvisation,0.55,0.45,0.55,0.7,0.85,0.8,0.45,0.55
cool jazz late night sophistication,0.5,0.3,0.3,0.7,0.35,0.45,0.4,0.45
New Orleans jazz funeral parade,0.75,0.55,0.45,0.55,0.65,0.7,0.35,0.7
smoky jazz club midnight set,0.65,0.2,0.4,0.65,0.45,0.55,0.3,0.65
bebop frenetic improvisation,0.55,0.45,0.55,0.7,0.85,0.8,0.45,0.55
cool jazz late night sophistication,0.5,0.3,0.3,0.7,0.35,0.45,0.4,0.45
New Orleans jazz funeral parade,0.75,0.55,0.45,0.55,0.65,0.7,0.35,0.7
smoky jazz club midnight set,0.65,0.2,0.4,0.65,0.45,0.55,0.3,0.65
bebop frenetic improvisation,0.55,0.45,0.55,0.7,0.85,0.8,0.45,0.55
cool jazz late night sophistication,0.5,0.3,0.3,0.7,0.35,0.45,0.4,0.45
New Orleans jazz funeral parade,0.75,0.55,0.45,0.55,0.65,0.7,0.35,0.7
smoky jazz club midnight set,0.65,0.2,0.4,0.65,0.45,0.55,0.3,0.65
bebop frenetic improvisation,0.55,0.45,0.55,0.7,0.85,0.8,0.45,0.55
cool jazz late night sophistication,0.5,0.3,0.3,0.7,0.35,0.45,0.4,0.45
New Orleans jazz funeral parade,0.75,0.55,0.45,0.55,0.65,0.7,0.35,0.7
smoky jazz club midnight set,0.65,0.2,0.4,0.65,0.45,0.55,0.3,0.65
bebop frenetic improvisation,0.55,0.45,0.55,0.7,0.85,0.8,0.45,0.55
cool jazz late night sophistication,0.5,0.3,0.3,0.7,0.35,0.45,0.4,0.45
New Orleans jazz funeral parade,0.75,0.55,0.45,0.55,0.65,0.7,0.35,0.7
smoky jazz club midnight set,0.65,0.2,0.4,0.65,0.45,0.55,0.3,0.65
bebop frenetic improvisation,0.55,0.45,0.55,0.7,0.85,0.8,0.45,0.55
cool jazz late night sophistication,0.5,0.3,0.3,0.7,0.35,0.45,0.4,0.45
New Orleans jazz funeral parade,0.75,0.55,0.45,0.55,0.65,0.7,0.35,0.7
smoky jazz club midnight set,0.65,0.2,0.4,0.65,0.45,0.55,0.3,0.65
bebop frenetic improvisation,0.55,0.45,0.55,0.7,0.85,0.8,0.45,0.55
cool jazz late night sophistication,0.5,0.3,0.3,0.7,0.35,0.45,0.4,0.45
Louis Armstrong trumpet warmth,0.8,0.55,0.4,0.85,0.65,0.7,0.3,0.8
Miles Davis Kind of Blue,0.55,0.35,0.25,0.7,0.3,0.5,0.35,0.5
free jazz chaotic liberation,0.45,0.5,0.75,0.55,0.9,0.9,0.2,0.5
90s Seattle grunge basement show,0.35,0.2,0.82,0.35,0.75,0.82,0.55,0.35
Nirvana raw distorted angst,0.3,0.35,0.88,0.25,0.85,0.9,0.5,0.3
flannel and feedback garage rock,0.4,0.3,0.8,0.4,0.7,0.75,0.45,0.4
90s Seattle grunge basement show,0.35,0.2,0.82,0.35,0.75,0.82,0.55,0.35
Nirvana raw distorted angst,0.3,0.35,0.88,0.25,0.85,0.9,0.5,0.3
flannel and feedback garage rock,0.4,0.3,0.8,0.4,0.7,0.75,0.45,0.4
90s Seattle grunge basement show,0.35,0.2,0.82,0.35,0.75,0.82,0.55,0.35
Nirvana raw distorted angst,0.3,0.35,0.88,0.25,0.85,0.9,0.5,0.3
flannel and feedback garage rock,0.4,0.3,0.8,0.4,0.7,0.75,0.45,0.4
90s Seattle grunge basement show,0.35,0.2,0.82,0.35,0.75,0.82,0.55,0.35
Nirvana raw distorted angst,0.3,0.35,0.88,0.25,0.85,0.9,0.5,0.3
flannel and feedback garage rock,0.4,0.3,0.8,0.4,0.7,0.75,0.45,0.4
90s Seattle grunge basement show,0.35,0.2,0.82,0.35,0.75,0.82,0.55,0.35
Nirvana raw distorted angst,0.3,0.35,0.88,0.25,0.85,0.9,0.5,0.3
flannel and feedback garage rock,0.4,0.3,0.8,0.4,0.7,0.75,0.45,0.4
90s Seattle grunge basement show,0.35,0.2,0.82,0.35,0.75,0.82,0.55,0.35
Nirvana raw distorted angst,0.3,0.35,0.88,0.25,0.85,0.9,0.5,0.3
flannel and feedback garage rock,0.4,0.3,0.8,0.4,0.7,0.75,0.45,0.4
